index;Conference Title;Book Title;Series;Description;Mtg Year;POD Publisher;Publ Year;wikidata_index
6331;ARTIFICIAL INTELLIGENCE AND INDUSTRIAL ENGINEERING. INTERNATIONAL CONFERENCE. 2015. (AIIE 2015) ;International Conference on Artificial Intelligence and Industrial Engineering 2015 (AIIE 2015);Advances in Intelligent Systems Research Volume 123;Held 26-27 July 2015, Phuket, Thailand. ;2015.0;Curran Associates, Inc.;2015;null
54474;MEDICAL IMAGING 2023: DIGITAL AND COMPUTATIONAL PATHOLOGY  ;Medical Imaging 2023: Digital and Computational Pathology;Proceedings of SPIE Volume 12471;Held 19-23 February 2023, San Diego, California, USA. At SPIE Medical Imaging.;2023.0;Curran Associates, Inc.;2023;null
55780;OPTOELECTRONIC INTEGRATED CIRCUITS IX  ;Optoelectronic Integrated Circuits IX;Proceedings of SPIE Volume 06476;Held 22-24 January 2007, San Jose, California, USA. At Integrated Optoelectronic Devices 2007.;2007.0;Curran Associates, Inc.;2007;null
11569;NANOSCALE LUMINESCENT MATERIALS 7. (241ST ECS MEETING) ;Nanoscale Luminescent Materials 7;ECS Transactions Volume 108 No.03;Held 29 May - 2 June 2022, Vancouver, Canada. 241st ECS Meeting.;2022.0;Curran Associates, Inc.;2023;null
54352;MEDICAL IMAGING 2009: COMPUTER-AIDED DIAGNOSIS  ;Medical Imaging 2009: Computer-Aided Diagnosis;Proceedings of SPIE Volume 07260;Held 10-12 February 2009, Lake Buena Vista, Florida, USA. At SPIE Medical Imaging.;2009.0;Curran Associates, Inc.;2009;null
56906;SILICON PHOTONICS XI  ;Silicon Photonics XI;Proceedings of SPIE Volume 09752;Held 15-17 February 2016, San Francisco, California, USA. At SPIE OPTO.;2016.0;Curran Associates, Inc.;2016;null
10937;ALKALINE ELECTROCHEMICAL SYSTEMS FOR ENERGY CONVERSION AND FUEL PRODUCTION. (223RD ECS MEETING) ;Alkaline Electrochemical Systems for Energy Conversion and Fuel Production;ECS Transactions Volume 53 No.23;Held 12-16 May 2013, Toronto, Canada. 223rd ECS Meeting.;2013.0;Curran Associates, Inc.;2018;null
8339;BULK METALLIC GLASSES. (SYMPOSIUM II AT THE 2013 MRS FALL MEETING AND EXHIBIT) ;Bulk Metallic Glasses;Materials Research Society Symposium Proceedings Volume 1649;Held 1-6 December 2013, Boston, Massachusetts, USA. Symposium II at the 2013 MRS Fall Meeting and Exhibit.;2013.0;Curran Associates, Inc.;2015;null
6711;EDUCATION, ECONOMICS AND, SOCIAL SCIENCE. INTERNATIONAL CONFERENCE. 2018. (ICEESS 2018) ;International Education, Economics and Social Science (ICEESS 2018);Advances in Social Science, Education and Humanities Research Volume 223;Held 30-31 October 2018, Singapore. ;2018.0;Curran Associates, Inc.;2019;null
52757;DESIGN-PROCESS-TECHNOLOGY CO-OPTIMIZATION FOR MANUFACTURABILITY X  ;Design-Process-Technology Co-optimization for Manufacturability X;Proceedings of SPIE Volume 09781;Held 24-25 February 2016, San Jose, California, USA. At SPIE Advanced Lithography.;2016.0;Curran Associates, Inc.;2016;null
53463;HIGH-POWER LASER MATERIALS PROCESSING: APPLICATIONS, DIAGNOSTICS, AND SYSTEMS VI  ;High-Power Laser Materials Processing: Applications, Diagnostics, and Systems VI;Proceedings of SPIE Volume 10097;Held 31 January - 2 February 2017, San Francisco, California, USA. At SPIE LASE.;2017.0;Curran Associates, Inc.;2017;null
47102;MULTIDISCIPLINARY SCIENTIFIC GEO-CONFERENCE. INTERNATIONAL. 23RD 2023. INFORMATICS, GEOINFORMATICS AND REMOTE SENSING (BOOK NO. 2.1) ;23rd International Multidisciplinary Scientific GeoConference (SGEM 2023): Informatics, Geoinformatics and Remote Sensing;SGEM International Multidisciplinary Scientific GeoConference Volume 23, Issue 2.1;Held 3-8 July 2023, Albena, Bulgaria. ;2023.0;Curran Associates, Inc.;2023;null
49588;MATHEMATICAL FOUNDATIONS OF COMPUTER SCIENCE. INTERNATIONAL SYMPOSIUM. 45TH 2020. (MFCS 2020) (2 PARTS) ;45th International Symposium on Mathematical Foundations of Computer Science (MFCS 2020);Leibniz International Proceedings in Informatics Volume 170;Held 25-26 August 2020, Prague, Czech Republic. ;2020.0;Curran Associates, Inc.;2020;null
55849;ORGANIC LIGHT EMITTING MATERIALS AND DEVICES XV  ;Organic Light Emitting Materials and Devices XV;Proceedings of SPIE Volume 08115;Held 21-25 August 2011, San Diego, California, USA. At SPIE Photonic Devices + Applications.;2011.0;Curran Associates, Inc.;2000;null
56076;PHOTONIC MICRODEVICES/MICROSTRUCTURES FOR SENSING III  ;Photonic Microdevices/Microstructures for Sensing III;Proceedings of SPIE Volume 08034;Held 27-28 April 2011, Orlando, Florida, USA. At SPIE Defense, Security, and Sensing.;2011.0;Curran Associates, Inc.;2011;null
34070;PROGRAM COMPREHENSION. IEEE/ACM INTERNATIONAL CONFERENCE. 25TH 2017. (ICPC 2017); 2017 IEEE/ACM 25th International Conference on Program Comprehension (ICPC 2017);;Held 22-23 May 2017, Buenos Aires, Argentina. ;2017;Curran Associates, Inc.;2017;Q106334861
38552;TELECOMMUNICATIONS. INTERNATIONAL CONFERENCE. 19TH 2012. (ICT 2012);  2012 19th International Conference on Telecommunications (ICT 2012);;Held 23-25 April 2012, Jounieh, Lebanon.; 2012;Curran Associates, Inc.;2012;Q106337688
58224;NETWORK AND DISTRIBUTED SYSTEM SECURITY SYMPOSIUM. 2016. (NDSS'16) (2 VOLS);Network and Distributed System Security Symposium 2016 (NDSS'16);;Held 21-24 February 2016, San Diego, California, USA.;2016;Curran Associates, Inc.;2021;Q106338923
20295;COMPUTER SOFTWARE AND APPLICATIONS CONFERENCE. IEEE ANNUAL. 36TH 2012. (COMPSAC 2012);2012 IEEE 36th Annual Computer Software and Applications Conference (COMPSAC 2012);;Held 16-20 July 2012, Izmir, Turkey.;2012;Curran Associates, Inc.;2012;Q106330571
49842;WEB INFORMATION SYSTEMS AND TECHNOLOGIES. INTERNATIONAL CONFERENCE. 18TH 2022. (WEBIST 2022);18th International Conference on Web Information Systems and Technologies (WEBIST 2022);;Held 25-27 October 2022, Valletta, Malta.;2022;Curran Associates, Inc.;2023;Q110502201
39373;VIRTUAL REALITY CONFERENCE. IEEE. 2011. (VR 2011);2011 IEEE Virtual Reality Conference (VR 2011);;Held 19-23 March 2011, Singapore.;2011;Curran Associates, Inc.;2011;Q111992411
38639;TEST SYMPOSIUM. ASIAN. 17TH 2008.; 2008 17th Asian Test Symposium (ATS);;Held 24-27 November 2008, Hokkaido, Japan.;2008;Curran Associates, Inc.;2008;Q106330807
26543;HYBRID INTELLIGENT SYSTEMS. INTERNATIONAL CONFERENCE. 14TH 2014. (HIS 2014);2014 14th International Conference on Hybrid Intelligent Systems (HIS 2014);;Held 14-16 December 2014, Hawally, Kuwait.;2014;Curran Associates, Inc.;2014;Q106336713
48667;INTELLIGENT SYSTEMS FOR MOLECULAR BIOLOGY. ANNUAL INTERNATIONAL CONFERENCE. 14TH 2006.   ISMB 2006;14th Annual International Conference on Intelligent Systems for Molecular Biology (ISMB 2006);;Held 6-10 August 2006, Fortaleza, Brazil.;2006;Curran Associates, Inc.;2007;Q108419007
37082;SOFTWARE ENGINEERING CONFERENCE WORKSHOPS. ASIA-PACIFIC. 24TH 2017. (APSECW 2017);2017 24th Asia-Pacific Software Engineering Conference Workshops (APSECW 2017);;Held 4-8 December 2017, Nanjing, China.;2017;Curran Associates, Inc.;2017;Q106242915
